,closed_at,created_at,issue_comments,issue_desc,issue_id
0,2020-06-17 21:32:47,2020-06-15 21:39:30,Redirect Keras to tf.keras,"* * System information * * - Have I written custom code ( as opposed to using example directory ) : - OS Platform and Distribution ( e.g. , Linux Ubuntu 16.04 ) : CentOS7.3 - TensorFlow backend ( yes / no ) : yes - TensorFlow version : v1.14.0-rc1-22-gaf24dc91b5 1.14.0 - Keras version : 2.3.1 - Python version : 3.6 - CUDA/cuDNN version : - GPU model and memory : You can obtain the TensorFlow version with : python -c `` import tensorflow as tf ; print ( tf.GIT_VERSION , tf.VERSION ) '' You can obtain the Keras version with : python -c 'import keras as k ; print ( k.__version__ ) ' * * Describe the current behavior * * I want concatenate two model to a fully connected layer，and then train it，but keras.fit reporte an assert error like this : == > Training model ... Traceback ( most recent call last ) : File `` train-2dcnn-1dcnn.py '' , line 295 , in < module > main ( ) File `` train-2dcnn-1dcnn.py '' , line 219 , in main model.fit ( [ x_train_1dcnn , x_train_2dcnn ] , y_train , batch_size=args.batch_size , epochs=args.epochs , validation_split=0.1 , callbacks=callback_lists ) File `` /usr/local/anaconda3/envs/tensorflow-1.0/lib/python3.6/site-packages/keras/engine/training.py '' , line 1154 , in fit batch_size=batch_size ) File `` /usr/local/anaconda3/envs/tensorflow-1.0/lib/python3.6/site-packages/keras/engine/training.py '' , line 504 , in _standardize_user_data self._set_inputs ( x ) File `` /usr/local/anaconda3/envs/tensorflow-1.0/lib/python3.6/site-packages/keras/engine/training.py '' , line 414 , in _set_inputs assert len ( inputs ) == 1 AssertionError * * Describe the expected behavior * * No error occur * * Code to reproduce the issue * * Provide a reproducible test case that is the bare minimum necessary to generate the problem . import keras from keras import layers from keras.models import Model from keras.utils import to_categorical from keras.models import load_model from keras.callbacks import Callback , ModelCheckpoint , TensorBoard , LearningRateScheduler , EarlyStopping import keras.backend as K print ( '== > Building model ... ' ) model1 = keras.Sequential ( ) model1.add ( layers.Conv1D ( 32 , 3 , activation='relu ' , input_shape= ( 1 , 39 ) , padding='same ' , name='data1 ' ) ) model1.add ( layers.MaxPooling1D ( 2 , 2 , padding='same ' ) ) model1.add ( layers.Conv1D ( 64 , 3 , activation='relu ' , padding='same ' ) ) model1.add ( layers.MaxPooling1D ( 2 , 2 , padding='same ' ) ) model1.add ( layers.Flatten ( ) ) model1.build ( ( None , 1 , 39 ) ) model2 = keras.Sequential ( ) model2.add ( layers.Conv2D ( 32 , 5 , activation='relu ' , input_shape= ( 28 , 28 , 3 ) , padding='same ' , name= '' data2 '' ) ) model2.add ( layers.MaxPooling2D ( ( 2 , 2 ) , ( 2 , 2 ) , padding='same ' ) ) model2.add ( layers.Conv2D ( 64 , 5 , activation='relu ' , padding='same ' ) ) model2.add ( layers.MaxPooling2D ( 2 , 2 , padding='same ' ) ) model2.add ( layers.Conv2D ( 64 , 7 , activation='relu ' , padding='same ' ) ) model2.add ( layers.Flatten ( ) ) model2.build ( ( None , 28 , 28 , 3 ) ) model = keras.Sequential ( ) model.add ( layers.Concatenate ( [ model1.output , model2.output ] ) ) model.add ( layers.Dense ( 1024 , activation='relu ' ) ) model.add ( layers.Dense ( 128 , activation='relu ' ) ) model.add ( layers.Dense ( len ( class_names ) , activation='softmax ' , name= '' output '' ) ) model.compile ( optimizer=keras.optimizers.RMSprop ( ) , loss='sparse_categorical_crossentropy ' , metrics= [ 'accuracy ' ] ) print ( '== > Training model ... ' ) filepath = `` little_class_2dcnn_1dcnn_tf2.h5 '' checkpoint = ModelCheckpoint ( filepath , monitor='val_accuracy ' , verbose=0 , save_best_only=True , mode='max ' ) lr_scheduler = LearningRateScheduler ( schedule ) callback_lists = [ lr_scheduler , checkpoint ] model.fit ( [ x_train_1dcnn , x_train_2dcnn ] , y_train , batch_size=args.batch_size , epochs=args.epochs , validation_split=0.1 , callbacks=callback_lists ) The dataset shape is as follows： x_train_1dcnn.shape : ( 322819 , 1 , 39 ) x_train_2dcnn.shape : ( 322819 , 28 , 28 , 3 ) y_train.shape : ( 322819 , 1 ) * * Other info / logs * * Include any logs or source code that would be helpful to diagnose the problem . If including tracebacks , please include the full traceback . Large logs and files should be attached .",14121.0
1,2019-10-24 19:52:19,2019-10-22 01:16:16,Update np_utils.py,"< ! -- Please make sure you 've read and understood our contributing guidelines ; https : //github.com/keras-team/keras/blob/master/CONTRIBUTING.md Note : We are no longer adding new features to multi-backend Keras ( we only fix bugs ) , as we are refocusing development efforts on tf.keras . If you are still interested in submitting a feature pull request , please direct it to tf.keras in the TensorFlow repository instead . -- > # # # Summary Fixing words in document 'Utils' I changed 'Numpy ' - > 'NumPy' # # # Related Issues # # # PR Overview - [ N ] This PR requires new unit tests [ y/n ] ( make sure tests are included ) - [ Y ] This PR requires to update the documentation [ y/n ] ( make sure the docs are up-to-date ) - [ N ] This PR is backwards compatible [ y/n ] - [ N ] This PR changes the current API [ y/n ] ( all API changes need to be approved by fchollet )",13481.0
2,2019-10-22 14:14:40,2019-10-21 14:28:52,Fix h5py group naming while model saving,"< ! -- Please make sure you 've read and understood our contributing guidelines ; https : //github.com/keras-team/keras/blob/master/CONTRIBUTING.md Note : We are no longer adding new features to multi-backend Keras ( we only fix bugs ) , as we are refocusing development efforts on tf.keras . If you are still interested in submitting a feature pull request , please direct it to tf.keras in the TensorFlow repository instead . -- > # # # Summary This pull request is related to issue [ # 12195 ] ( url ) . There is a bug while saving .h5 models . In a model , if a layer name is prefix of a previously defined layer name , then h5py will fail with error : `` ValueError : Unable to create group ( name already exists ) '' . This problem is even more present in Tensorflow 2.0 because saving a model with tf.ones_like , tf.zeros_like , tf.boolean_mask , ... Tensors will lead to this error . The first commit of this pull request sorts the model layers by name to ensure that h5py group names are strictly growing to avoid prefix issues . File : keras/engine/saving.py The second commit of this pull request add a test described problem . Function : test_saving_group_naming_h5py ( ) in File : tests/test_model_saving.py # # # Related Issues Fixes # 12195 . # # # PR Overview - [ y ] This PR requires new unit tests [ y/n ] ( make sure tests are included ) Included in second commit - [ n ] This PR requires to update the documentation [ y/n ] ( make sure the docs are up-to-date ) - [ y ] This PR is backwards compatible [ y/n ] - [ n ] This PR changes the current API [ y/n ] ( all API changes need to be approved by fchollet )",13477.0
3,2019-10-21 13:46:18,2019-10-20 11:38:16,Update core.py,"< ! -- Please make sure you 've read and understood our contributing guidelines ; https : //github.com/keras-team/keras/blob/master/CONTRIBUTING.md Note : We are no longer adding new features to multi-backend Keras ( we only fix bugs ) , as we are refocusing development efforts on tf.keras . If you are still interested in submitting a feature pull request , please direct it to tf.keras in the TensorFlow repository instead . -- > # # # Summary ` channels_first ` - > ` 'channels_first ' ` ` channels_last ` , `` channels_last '' - > ` 'channels_last ' ` data_format='channels_first ' - > ` data_format='channels_first ' ` data_format='channels_last ' - > ` data_format='channels_last ' ` # # # Related Issues # # # PR Overview - [ n ] This PR requires new unit tests [ y/n ] ( make sure tests are included ) - [ y ] This PR requires to update the documentation [ y/n ] ( make sure the docs are up-to-date ) - [ y ] This PR is backwards compatible [ y/n ] - [ n ] This PR changes the current API [ y/n ] ( all API changes need to be approved by fchollet )",13472.0
4,2019-10-21 13:43:47,2019-10-19 14:19:29,Update pooling.py,"< ! -- Please make sure you 've read and understood our contributing guidelines ; https : //github.com/keras-team/keras/blob/master/CONTRIBUTING.md Note : We are no longer adding new features to multi-backend Keras ( we only fix bugs ) , as we are refocusing development efforts on tf.keras . If you are still interested in submitting a feature pull request , please direct it to tf.keras in the TensorFlow repository instead . -- > # # # Summary Added Integer at the ` pool_size ` and ` strides ` of ` MaxPooling3D ` , ` AveragePooling3D ` Made ` strides ` argument have all same format ` channels_first ` - > ` `` channels_first '' ` ` channels_last ` - > ` `` channels_last '' ` `` channels_last '' - > ` `` channels_last '' ` # # # Related Issues # # # PR Overview - [ n ] This PR requires new unit tests [ y/n ] ( make sure tests are included ) - [ y ] This PR requires to update the documentation [ y/n ] ( make sure the docs are up-to-date ) - [ y ] This PR is backwards compatible [ y/n ] - [ n ] This PR changes the current API [ y/n ] ( all API changes need to be approved by fchollet )",13467.0
5,2019-10-11 21:19:30,2019-10-11 08:59:36,Change ` batch_size ` descriptions to proper ones,"# # # Summary - Since there 're no gradients to be updated during ` evaulate ` and ` predict ` processes , changed their ` batch_size ` docstrings from ` `` Number of samples per gradient update '' ` to ` `` Number of samples per evaluation step '' ` and ` `` Number of samples to be predicted at once '' ` . ( The sentence in fit remains unchanged . ) - Corrected ` callbacks ` description docstrings in ` evaluate_generator ` and ` predict_generator ` : ` `` List of callbacks to apply during training '' ` - > ` `` - during evaluation '' ` , ` `` - during prediction '' ` . I hope this fix would change related auto-generated documents as well . < ! -- Please make sure you 've read and understood our contributing guidelines ; https : //github.com/keras-team/keras/blob/master/CONTRIBUTING.md Note : We are no longer adding new features to multi-backend Keras ( we only fix bugs ) , as we are refocusing development efforts on tf.keras . If you are still interested in submitting a feature pull request , please direct it to tf.keras in the TensorFlow repository instead . -- > # # # Related Issues # # # PR Overview - [ ] This PR requires new unit tests [ y/n ] ( make sure tests are included ) - [ x ] This PR requires to update the documentation [ y/n ] ( make sure the docs are up-to-date ) - [ x ] This PR is backwards compatible [ y/n ] - [ ] This PR changes the current API [ y/n ] ( all API changes need to be approved by fchollet )",13422.0
6,2019-10-08 09:56:21,2019-10-02 01:08:40,Small refactors on the keras.utils module,"# # # Summary This PR is just a small refactor on the ` keras.utils ` module , using python generators over list comprehensions whenever possible in order to use less memory and avoid computing things beforehand . I also changed the string interpolation on those files to use ` .format ( ) ` instead of just concatenating the strings . # # # Related Issues # # # PR Overview - [ n ] This PR requires new unit tests [ y/n ] ( make sure tests are included ) - [ n ] This PR requires to update the documentation [ y/n ] ( make sure the docs are up-to-date ) - [ y ] This PR is backwards compatible [ y/n ] - [ n ] This PR changes the current API [ y/n ] ( all API changes need to be approved by fchollet )",13388.0
7,2019-10-01 17:00:04,2019-10-01 09:03:44,ValueError in plot_model if ipython is installed and a pdf file is requested,"* * System information * * - Have I written custom code ( as opposed to using example directory ) : yes - OS Platform and Distribution ( e.g. , Linux Ubuntu 16.04 ) : Ubuntu 19.04 - TensorFlow backend ( yes / no ) : yes - TensorFlow version : 1.14 - Keras version : 2.3.0 - Python version : 3.7.3 * * Describe the current behavior * * If ipython is installed and [ plot_model ] ( https : //github.com/keras-team/keras/blob/985521ee7050df39f9c06f53b54e17927bd1e6ea/keras/utils/vis_utils.py # L214 ) asks for a pdf file , the error shown in the log below is raised . The current code check if ipython is installed ; if so it tries to return a display image for Jupiter but if the file extension is pdf a ValueError is raised ( probably because the pdf format is not supported into Jupiter ) : https : //github.com/keras-team/keras/blob/985521ee7050df39f9c06f53b54e17927bd1e6ea/keras/utils/vis_utils.py # L247-L252 * * Describe the expected behavior * * I have ipython installed but I do not want to get the Jupiter image , I just would like to save a pdf file . Probably a possible solution will be to return the image if the extension is not pdf , or asking explicitly for the image with a return_jupiter_image flag . * * Code to reproduce the issue * * Install ipython and then :",13383.0
8,2019-10-04 17:29:43,2019-09-30 05:04:42,Fix file leak in CSVLogger,Fixes # 13377,13378.0
9,2019-09-29 19:59:33,2019-09-29 01:49:12,Update local.py,"stride value implies the input argument of 'stride ' , and dilation_rate implies the input argument of 'dilation rate ' of Conv1D function . It is more explicit to express as code rather than using words stride value , dilation value . Or , at least both stride and dilation_rate should be written in code , not only dilation rate as before document < ! -- Please make sure you 've read and understood our contributing guidelines ; https : //github.com/keras-team/keras/blob/master/CONTRIBUTING.md Note : We are no longer adding new features to multi-backend Keras ( we only fix bugs ) , as we are refocusing development efforts on tf.keras . If you are still interested in submitting a feature pull request , please direct it to tf.keras in the TensorFlow repository instead . -- > # # # Summary change documentation words . stride ! = -1 , dilation_rate ! = -1 to code # # # Related Issues # # # PR Overview - [ n ] This PR requires new unit tests [ y/n ] ( make sure tests are included ) - [ y ] This PR requires to update the documentation [ y/n ] ( make sure the docs are up-to-date ) - [ y ] This PR is backwards compatible [ y/n ] - [ n ] This PR changes the current API [ y/n ] ( all API changes need to be approved by fchollet )",13373.0
