,commit_id,issue_id
0,b5cb82c689eac0e50522be9d2f55093dadfba24c,14121.0
1,e8946d5240f3b18528d4d34668ee615907879953,13481.0
2,ecac367b2372b5f2326fcd3ddd11718323427f4e,13477.0
3,4d59675b65b6733e525286bbd512e9d5a42f3a22,13472.0
4,afff7b4326f380a54c73400d1e2ae03890162bdf,13467.0
5,2b1f8ed204609954ab04f7a8c123d400f929e9fb,13422.0
6,b75b2f7dcf5d3c83e33b8b2bc86f1d2543263a59,13388.0
7,16bd239e34d853f3bf7ae99f14e0324f924ca371,13378.0
8,f0464c94c3844ba38cfa501fa3928a2bff828011,13383.0
9,985521ee7050df39f9c06f53b54e17927bd1e6ea,13373.0
10,9ad5a18fdfe7c3cb7ff828bc1d6b42b75660db6c,13355.0
11,cf9595ae20be49917f2a19b24467e822ac878269,13322.0
12,78691340edd38b00668151c2e636ddbf370f9ef3,13315.0
13,d3512f7cfd0aba4ccf20f1d58729454a18718699,13239.0
14,93b0f1ca916a693c98e32c23a94a2893574cd58c,12775.0
15,cb96315a291a8515544c6dd807500073958f8928,11556.0
16,ccecd39dd9281d65bada97f6762f622563227315,13225.0
17,8315a0b7b93ae87a94812f5833a6c7befddc4fe6,13269.0
18,5dc27d0a986e3830ea720f9b8ee88dd1dbfd3601,13294.0
19,63c0369b2466cdf6002b821351b3ea0ab42cd132,13289.0
20,088bda5902fe6f663a49461e41bbb57630cad681,13280.0
21,680be2e1b782616982338da1bca5158259e94e78,13271.0
22,969db5ad69b3efed0ad6bd293812c1c08d71feb0,13265.0
23,a47f5e231c51fe3f1e6212ca05a20286096bf2e0,13256.0
24,61052bc1f1c141c5dba9f83a4af14322ec4e6d7c,12711.0
25,2bb96b6fa782abdc57c4ebe07b28cdfb98c49e50,13255.0
26,544625545afe2e9c2b358e356c11bb8be53ceb51,13246.0
27,a39f10acf3eac5e6ef69d084616982a4d4ebd8bb,13196.0
28,ee3997f2e6dafa5e1fa93b71dcf428a29f8066f6,13037.0
29,c10d24959b0ad615a21e671b180a1b2466d77a2b,13138.0
30,efe72ef433852b1d7d54f283efff53085ec4f756,13144.0
31,ed07472bc5fc985982db355135d37059a1f887a9,13078.0
32,3bda5520b787f84f687bb116c460f3aedada039b,13073.0
33,f06524c44e5f6926968cb2bb3ddd1e523f5474c5,13048.0
34,b810de658d022c38ce14e49693e6cb45d024333a,12984.0
35,c658993cf596fbd39cf800873bc457e69cfb0cdb,12949.0
36,910e1247b452f29c0297ec6e3bf52b28b24fefcf,12915.0
37,b2f989889cf7f68f8573eed70875e283dbdaf2a8,12904.0
38,ab3ef6f3f0b859e5b501aa696f388f277cb31de2,12903.0
39,3d48e278f8470f7f6fb9aead5521684f618ebc07,12894.0
40,665b0076e089dbe60ecadc34bf2cbff9d7042482,12841.0
41,08f6bdeb5652550f36210f64aefda3d0d41e2d79,12841.0
42,29f27f333efb427830e62bec62fd79b444df4011,12740.0
43,0792332f77e6a34093cab9c2bc6f638d1676bccd,12859.0
44,2f31fae720b25c60d15e1f30d17dca8e320dd92d,12721.0
45,58cebe948addc7c4cb8762b2e67c8ce656a9d957,12751.0
46,627bf95c11199419eb6d2017c322a0d78ef3dc3c,12831.0
47,0a0ac3fa5462cf4a72636ca4498a0a82ac91fc32,12858.0
48,f69e046eef93af5a28de5330bfe15ee348520b2d,12675.0
49,261bcb2515a82ba4c96c03e4960c03195218ddb4,12632.0
50,6b8a3bcd79beb264794ea72fd7a86c64c3f27736,12669.0
51,b5af431ce6b78dbc52f2bdeecdff52fd696bc7d0,12644.0
52,b2771d13b0f9146cde43af00f5a5156f56614436,12627.0
53,30fe4ff1f12ff0c45bac8738b4d2690eadd056b2,12628.0
54,2fadce57f0e12cf96f11fa1d42286986eccd70a8,12492.0
55,7c7e51ea5ab47b67cd68374400051dd022bdc662,12568.0
56,9e6b181b0b27d9ea1157b2ed7bcce04434bc8d77,12551.0
57,d789bd94a3a1bdc18390b8bff742936dcc70c54f,12544.0
58,91efaaa1d7486df71be30a54d82b907443d80bf1,12526.0
59,ad5db1010c40500793cc42539f1d97fa5fe36221,12168.0
60,c3eb62763fcc5029c26b025ba1b60d7788d491a1,11708.0
61,ad578c4c19444af9d1f0e0d51a8283eb0db1a264,12546.0
62,b8ec0e6dc9bc2b069fa9cdb86b8a32ef6a10a6aa,12545.0
63,8202e627c7d7897728d824c84a6d479ca84a9098,12539.0
64,960e7b5367a072fe10b8c2c50d2ce68607057f5a,12543.0
65,5d844095f6df0db8bd596247a98f429c594855f2,12542.0
66,78e1f57c484da15466a34ed543a1cc4709617a2f,12540.0
67,ce67a90decbe2f26f9ac9597d518f07b01d0c293,12541.0
68,618edbe595abcdca96f508b14d9198d68ac767a2,12536.0
69,f6a30b005535fb45a5b4decf084af437ac7fc7f2,12534.0
70,adaed1f84a0d980a660eb7d5ff271408374e5bef,12533.0
71,9bd69784e31f17ee3501167c267dad5c64f25de8,12406.0
72,f0eb8d538c82798944346b4b2df917a06bf5e9d4,12299.0
73,28ee86a51fa628f65a62d077e8dd9b7099b1749b,12506.0
74,a374c93092341f24027f60ffe32d56d2bff29b83,12499.0
75,f0a24a009a392f71d9dcf4fcffe2ecc9e9f36c86,12498.0
76,ee3d6a6465df01d27cbf3bb3c5bace05298756e3,12496.0
77,d7c0e952f7a3d0dbf7d9489a8b5c959e04bd9379,12500.0
78,dc83851aca230648c4f75ac1a0d4b9971b2d6aa0,12494.0
79,c24d16af155e20976bdf61e468ba760408e676ff,12336.0
80,b4e01aee7f4a9b815542c77c3d537e7ba66dd8c9,12306.0
81,029461c7d1fe7a6927a6f9d0fa13dbf49543b413,12477.0
82,408a344e50ef809812febc6e8dcabd34cfc11c60,12465.0
83,c8b0e33c3edf7e1f70b2fbf60a250909c917d55e,12466.0
84,91765e700b1d5e465fcb56bd2c2f56384bc2772d,12459.0
85,14625e57af7fe85eae501582ce1da135fc04c8e8,12414.0
86,de36e0426d4f01216653979af4beb0481a1b2735,12367.0
87,2944988be3ce0398c1ebbcce3f2b57a6d8be05df,12254.0
88,d48e97079914d897e82ddcb1a45261ce4415b8ea,12323.0
89,f69946854775d5c755983d9f585bd20cc97acae8,12344.0
90,63320f807788e16a9a6310180714692ed5c113d8,12241.0
91,6c92fa425e980f2a2a83bee8bfa5b5e4113066e4,11187.0
92,91ccb284abcd83a091dc5f2549f6b24df849a2b5,12259.0
93,7dd1c00e858ddbb1107aee1dcb6f65fff84c252d,12137.0
94,bb8e377ca10432d95c142651a355ce440be80557,12288.0
95,780b74df5fee729f7dc4781e991653f9b5f862b8,12300.0
96,71aadf5e8b4020d4c9423ee5a5f42271abd860e5,12339.0
97,02642368427964aae6b28a90da754b2ed0703f8b,12332.0
98,979e880c53f44d502cfc3648740bcc1300d6c4f0,12322.0
99,29b80082dc4f785b462c4453f14294ea32ad9ef3,12328.0
100,304b3958cf0787b16f4d23e7e45b26c6603c7fc3,12313.0
101,a7fdfdf2d1b1d6ff6d4c5495f8223442f65e8447,12312.0
102,e74d79997905a3ba7b247f60a93353b6a874ab5f,12303.0
103,4c16931b49aceb38b763b4a24a55a99b6847e29b,12294.0
104,6d5cdd7efdf8c10ff7df322059dccc8013144521,12293.0
105,ca5a4e3d6954eecc2910145111dd91f37d3ccf32,12292.0
106,cf6ca32e7ccf05bdfb35aed80726265b61256ea1,12287.0
107,3e6db0e99ef56b23b3977b5969413d0b636a6fad,12228.0
108,faf0e02621df87abde519466aacc130157e29c6a,12253.0
109,c13d2723d01212d09dfdda39b0ad439803ec9230,12205.0
110,c0d1709cbae3d05efc6dd224230012bc120be8e5,12281.0
111,a546ad4ad63c4410284387e55a8cd63a4244bf92,12252.0
112,58399c111a4639526f8d13d4bfa62fc3d0695b02,12242.0
113,c170b8e0a1b1f761d89fc9edcd603336b65f07c3,12237.0
