,commit_id,commit_time,diff,files,summary
0,223015a1facba4c2bfa1873235998cd845f0715e,2020-07-31 10:25:06-07:00,"f '' Could not find a DSN with alias { dsn } . `` fg= '' red '' , * More explicit error message when connecting using DSN alias and it is not found . exit ( 1 ) 'Please check the `` [ alias_dsn ] '' section in pgclirc . ' , except Exception : click.secho ( except KeyError : ) err=True , except :","['changelog.rst', 'pgcli/main.py']",More explicit error message when DSN alias is not found ( # 1198 )
1,df1b40ca2220b0211e8a86805788c70f674a1f1f,2020-07-31 10:21:58-07:00,"`` AGE '' , `` INET_SAME_FAMILY '' , `` REPEAT '' , Completion ( text= '' MASKLEN '' , start_position=-2 ) , `` TO_TIMESTAMP '' , `` ANY '' , `` CHR '' , `` ARRAY_REMOVE '' , `` UUID '' , `` FLOAT4 '' , `` LCASE '' , `` LINE '' , `` ARRAY_CAT '' , `` REGEXP_REPLACE '' , `` ROW_NUMBER '' , `` TRIGGER '' , Completion ( text= '' INTERNAL '' , display_meta= '' datatype '' ) , `` RECORD '' , `` CARDINALITY '' , `` MACADDR '' , `` ARRAY_APPEND '' , ] `` CONCAT '' , `` HOSTMASK '' , `` CHARACTER VARYING '' , Completion ( text= '' INTEGER '' , display_meta= '' datatype '' ) , `` PERCENT_RANK '' , `` JUSTIFY_INTERVAL '' , Completion ( text= '' MAKE_DATE '' , start_position=-2 ) , `` FDW_HANDLER '' , `` ARRAY_NDIMS '' , `` BOUND_BOX '' , `` STRPOS '' , `` PATH '' , `` FIRST '' , * Update functions , datatypes literals for auto-suggestion field `` SHA384 '' , `` NTH_VALUE '' , `` BIT '' , `` REGEXP_SPLIT_TO_TABLE '' , `` BOOL_AND '' , `` ISFINITE '' , `` ENCODE '' , `` POSITION '' , function ( `` CURRENT_TIME '' , -2 ) , `` TIME '' , `` INITCAP '' , `` LEFT '' , `` BOOL '' , `` INET '' , `` POINT '' , `` UPPER '' , `` SMALLSERIAL '' , `` TO_HEX '' , `` REGTYPE '' , `` TO_DATE '' , Completion ( text= '' INT4 '' , display_meta= '' datatype '' ) , `` TSVECTOR '' , `` TRANSLATE '' , `` QUOTE_NULLABLE '' , `` LOG '' , `` ARRAY_LENGTH '' , `` LOWER '' , `` REGPROCEDURE '' , `` MAKE_INTERVAL '' , `` VARBIT '' , `` MAKE_DATE '' , `` TRIM '' , `` NETMASK '' , `` CONVERT_FROM '' , `` AREA '' , `` CONCAT_WS '' , `` PCLOSE '' , `` RPAD '' , `` SHA512 '' , `` BIT VARYING '' , `` DATE_TRUNC '' , `` SCALE '' , `` SHA256 '' , `` RADIUS '' , `` REPLACE '' , text = `` SELECT price : :IN '' `` LOCALTIME '' , `` REGDICTIONARY '' , `` TO_CHAR '' , `` EXTRACT '' , `` ANYELEMENT '' , `` RTRIM '' , `` EXP '' , `` XML '' result = completions_to_set ( `` BTRIM '' , `` TRANSACTION_TIMESTAMP '' , `` LPAD '' , `` MONEY '' , Completion ( text= '' INET '' , display_meta= '' datatype '' ) , `` INTERVAL '' , `` NUM_NONNULLS '' , `` TOP '' , Completion ( text= '' INT8 '' , display_meta= '' datatype '' ) , `` SQRT '' , `` TRUNC '' , `` REGEXP_MATCH '' , `` BOOL_OR '' , `` BIGSERIAL '' , `` REGEXP_MATCHES '' , `` NPOINTS '' , `` DECODE '' , `` ANYNONARRAY '' , `` ENUM_RANGE '' , `` SUBSTRING '' , Completion ( text= '' INTERVAL '' , display_meta= '' datatype '' ) , `` REGNAMESPACE '' , completer.get_completions ( def test_datatype_name_completion ( completer , complete_event ) : `` TEXT '' , `` SET_BIT '' , `` MAKE_TIMESTAMP '' , `` MID '' , `` REGPROC '' , Completion ( text= '' INT2 '' , display_meta= '' datatype '' ) , function ( `` MAKE_TIME '' , -2 ) , `` TSQUERY '' , `` POPEN '' , `` STATEMENT_TIMESTAMP '' , `` PG_LSN '' , `` PARSE_IDENT '' , `` LOCALTIMESTAMP '' , `` ISOPEN '' , `` OVERLAY '' , `` PG_CLIENT_ENCODING '' , `` BIT_OR '' , `` REGOPERATOR '' , `` LEAD '' , `` ANYARRAY '' , `` STARTS_WITH '' , Completion ( text= '' MAKE_TIME '' , start_position=-2 ) , `` QUOTE_LITERAL '' , `` LAST_VALUE '' , `` ASCII '' , `` FLOAT8 '' , `` RANK '' , `` ARRAY_REPLACE '' , `` SERIAL4 '' , `` CEILING '' , `` WIDTH '' , `` DIAMETER '' , `` TIMESTAMP '' , `` MAKE_TIME '' , `` TXID_SNAPSHOT '' , function ( `` MASKLEN '' , -2 ) , `` VOID '' `` REGROLE '' , `` SMALLINT '' , `` STRING_TO_ARRAY '' , `` EVENT_TRIGGER '' , `` MASKLEN '' , `` LAG '' , smart_completion=True , `` XMLAGG '' `` UCASE '' Completion ( text= '' INT '' , display_meta= '' datatype '' ) , `` ABBREV '' , `` WIDTH_BUCKET '' , `` CIDR '' , `` BIT_AND '' , function ( `` CURRENT_TIMESTAMP '' , -2 ) , `` LANGUAGE_HANDLER '' , `` CURRENT_TIMESTAMP '' , `` HEIGHT '' , `` DEGREES '' , `` JSONB '' , `` GET_BYTE '' , `` ARRAY_TO_STRING '' , `` FLOOR '' , `` OPAQUE '' , `` NTILE '' , `` CIRCLE '' , `` SET_MASKLEN '' , `` GET_BIT '' , `` CEIL '' , function ( `` CUME_DIST '' , -2 ) , `` POWER '' , Completion ( text= '' MAKE_TIMESTAMPTZ '' , start_position=-2 ) , `` EVERY '' , `` SERIAL '' , `` REGEXP_SPLIT_TO_ARRAY '' , `` FAMILY '' , `` CHARACTER '' , `` REGCLASS '' , `` CHAR_LENGTH '' , `` RADIANS '' , `` JUSTIFY_DAYS '' , `` FIRST_VALUE '' , `` ANYRANGE '' , `` PI '' , `` SERIAL8 '' , `` TIMEOFDAY '' , `` ARRAY_UPPER '' , `` CONVERT_TO '' , `` QUOTE_IDENT '' , `` CURRENT_TIME '' , `` MD5 '' , `` POLYGON '' , position = len ( `` SELECT price : :IN '' ) `` CLOCK_TIMESTAMP '' , Completion ( text= '' MAKE_TIMESTAMP '' , start_position=-2 ) , `` DIV '' , `` SET_BYTE '' , `` JSON '' , `` ARRAY_AGG '' , function ( `` MAKE_INTERVAL '' , -2 ) , `` ENUM_FIRST '' , `` CENTER '' , `` CSTRING '' , `` ARRAY_POSITION '' , `` ARRAY_FILL '' , `` REGCONFIG '' , `` CBRT '' , `` INT4 '' , `` LTRIM '' , `` ANYENUM '' , function ( `` MAKE_TIMESTAMPTZ '' , -2 ) , `` RIGHT '' , `` BROADCAST '' , `` DENSE_RANK '' , `` CUME_DIST '' , `` ARRAY_POSITIONS '' , `` DATE_PART '' , `` MACADDR8 '' , `` ARRAY_PREPEND '' , `` ABS '' , complete_event , `` INT2 '' , `` REVERSE '' , `` OCTET_LENGTH '' , `` ARRAY_DIMS '' , `` TO_ASCII '' , `` TO_NUMBER '' , function ( `` MAKE_TIMESTAMP '' , -2 ) , `` LSEG '' , `` ENUM_LAST '' , `` CONVERT '' , function ( `` CURRENT_DATE '' , -2 ) , `` ISCLOSED '' , `` BOX '' , `` REGOPER '' , ) `` INTERNAL '' , `` UNNEST '' , `` MAKE_TIMESTAMPTZ '' , `` BYTEA '' , `` LEN '' , `` ARRAY_LOWER '' , `` SERIAL2 '' , `` LAST '' , `` SIGN '' , `` HOST '' , Completion ( text= '' MAKE_INTERVAL '' , start_position=-2 ) , `` SPLIT_PART '' , `` NETWORK '' , `` JUSTIFY_HOURS '' , `` LOG10 '' , `` INET_MERGE '' , Document ( text=text , cursor_position=position ) , `` CURRENT_DATE '' , `` MOD '' , `` SHA224 '' , `` INT8 '' , `` NUM_NULLS '' , `` DECIMAL '' , assert result == completions_to_set ( [ `` LN '' , `` LENGTH '' , `` BIT_LENGTH '' , function ( `` MAKE_DATE '' , -2 ) , ) `` VOID '' , `` SUBSTR '' , `` OID '' ,","['changelog.rst', 'pgcli/packages/pgliterals/pgliterals.json', 'tests/test_naive_completion.py', 'tests/test_smart_completion_public_schema_only.py']",Update suggestion literals ( # 1195 )
2,8f7e31450835bca5d9a8bb4de252efba6f4b7b10,2020-07-28 23:08:19-07:00,"import humanize * Move from ` humanize ` to ` pendulum ` for displaying query durations ( # 1015 ) pendulum.Duration ( seconds=query.total_time ) .in_words ( ) , `` pendulum > =2.1.0 '' , * Tom Caruso ( tomplex ) humanize.time.naturaldelta ( query.execution_time ) , `` humanize > = 0.5.1 '' , pendulum.Duration ( seconds=query.execution_time ) .in_words ( ) , humanize.time.naturaldelta ( query.total_time ) , import pendulum","['AUTHORS', 'changelog.rst', 'pgcli/main.py', 'setup.py']",Move from humanize to pendulum library for displaying query durations ( # 1199 )
3,41dd24e8da9a812cb41e022c33dbe9835361d7b6,2020-07-07 20:19:22-07:00,"Token.Literal.String : `` literal.string '' , keyword = 'bold # 008000 ' * Support setting color for null , string , number , keyword value Token.Keyword : `` keyword '' , literal.number = ' # 666666 ' Token.Literal.Number : `` literal.number '' , * Seungyong Kwak ( GUIEEN ) literal.string = ' # ba2121 ' * Support setting color for null value","['AUTHORS', 'changelog.rst', 'pgcli/pgclirc', 'pgcli/pgstyle.py']",Add custom color ( # 1196 )
4,77414aa9e75f89cca9d248d4c0f3b9f1959007c8,2020-06-28 10:12:17+08:00,"* Fix for list index out of range when executing commands from a file ( # 1193 ) . ( Thanks : ` Irina Truong ` _ ) formatted_sql = sqlparse.format ( query.lower ( ) , strip_comments=True ) sql = sqlparse.format ( sql , strip_comments=True ) .strip ( ) formatted_sql = sqlparse.format ( query.lower ( ) , strip_comments=True ) .strip ( )","['changelog.rst', 'pgcli/packages/parseutils/__init__.py', 'pgcli/pgexecute.py']",Merge pull request # 1194 from dbcli/j-bennet/fix-sql-comment
5,106c6c7bf889b0db5fe85eba31f3f7f6b52a0895,2020-06-26 14:01:24-07:00,"* Fix for list index out of range when executing commands from a file ( # 1193 ) . ( Thanks : ` Irina Truong ` _ ) formatted_sql = sqlparse.format ( query.lower ( ) , strip_comments=True ) sql = sqlparse.format ( sql , strip_comments=True ) .strip ( ) formatted_sql = sqlparse.format ( query.lower ( ) , strip_comments=True ) .strip ( )","['changelog.rst', 'pgcli/packages/parseutils/__init__.py', 'pgcli/pgexecute.py']",Fix for # 1193 list index out of range on sql comment .
6,0c24e8bda226f3dbd6ccb0381515a9c903847249,2020-05-28 15:29:50-07:00,"`` cli_helpers [ styles ] > = 1.2.0 '' , output.null = `` # 808080 '' * Support setting color for null value `` cli_helpers [ styles ] > = 2.0.0 '' , Token.Output.Null : `` output.null '' , except AttributeError : except AttributeError as err :","['changelog.rst', 'pgcli/pgclirc', 'pgcli/pgstyle.py', 'setup.py']",Support style for missing value . ( # 1186 )
7,4a98b37877050d0ff8cf475dc2fb8b3a93c7da89,2020-05-26 11:28:48-07:00,"# Possible values : `` always '' , never '' and `` if_more_than_one_table '' # Enables context sensitive auto-completion . If this is disabled , all # Enables context sensitive auto-completion . If this is disabled the all * Minor typo fixes in ` pgclirc ` . ( Thanks : ` anthonydb ` _ ) * Anthony DeBarros ( anthonydb ) # keyword casing preference . Possible values : `` lower '' , `` upper '' , `` auto '' .. _ ` anthonydb ` : https : //github.com/anthonydb # Timing of sql statments and table rendering . # keyword casing preference . Possible values `` lower '' , `` upper '' , `` auto '' # Possible values : `` always '' , `` never '' and `` if_more_than_one_table '' # Timing of sql statements and table rendering .","['AUTHORS', 'changelog.rst', 'pgcli/pgclirc']",Merge pull request # 1187 from anthonydb/master
8,b994c757013a2cfc6cdb9407120e53d94e8906f0,2020-05-11 09:51:23-07:00,FROM python:2.7 * Update python version in Dockerfile * Igor Kim ( igorkim ) FROM python:3.8,"['AUTHORS', 'Dockerfile', 'changelog.rst']",Update python version from 2.7 to 3.8 in Dockerfile ( # 1181 )
9,bcb0c8bce776a5eba9f5425c57c2ec8385f10e94,2020-04-23 10:17:40-07:00,"click.echo_via_pager ( text , color ) if status and table_format ! = `` csv '' : if status : # Only print the status if it 's not None . import platform if table_format == `` csv '' : # Nevertheless , we want to keep on using `` excel '' on Windows since it uses '\r\n ' * Add support for using [ pspg ] ( https : //github.com/okbob/pspg ) as a pager ( # 1102 ) output_kwargs [ `` dialect '' ] = dialect # The default CSV dialect is `` excel '' which is not handling newline values correctly elif `` pspg '' in os.environ [ `` PAGER '' ] and self.table_format == `` csv '' : # Only print the status if it 's not None and we are not producing CSV # as the line terminator # https : //github.com/dbcli/pgcli/issues/1102 * Panos Mavrogiorgos ( pmav99 ) dialect = `` excel '' if platform.system ( ) == `` Windows '' else `` unix ''","['AUTHORS', 'changelog.rst', 'pgcli/main.py']",Add support for using pspg as the pager . ( # 1173 )
